name	component	type	tracked_point	units	sampling_frequency
head_accelel_x	x	ACCEL	head	g	200
head_accelel_y	y	ACCEL	head	g	200
head_accelel_z	z	ACCEL	head	g	200
head_gyro_x	x	GYRO	head	deg/s	200
head_gyro_y	y	GYRO	head	deg/s	200
head_gyro_z	z	GYRO	head	deg/s	200
head_magn_x	x	MAGN	head	Gauss	200
head_magn_y	y	MAGN	head	Gauss	200
head_magn_z	z	MAGN	head	Gauss	200
sternum_accelel_x	x	ACCEL	sternum	g	200
sternum_accelel_y	y	ACCEL	sternum	g	200
sternum_accelel_z	z	ACCEL	sternum	g	200
sternum_gyro_x	x	GYRO	sternum	deg/s	200
sternum_gyro_y	y	GYRO	sternum	deg/s	200
sternum_gyro_z	z	GYRO	sternum	deg/s	200
sternum_magn_x	x	MAGN	sternum	Gauss	200
sternum_magn_y	y	MAGN	sternum	Gauss	200
sternum_magn_z	z	MAGN	sternum	Gauss	200
left_upper_arm_accelel_x	x	ACCEL	left_upper_arm	g	200
left_upper_arm_accelel_y	y	ACCEL	left_upper_arm	g	200
left_upper_arm_accelel_z	z	ACCEL	left_upper_arm	g	200
left_upper_arm_gyro_x	x	GYRO	left_upper_arm	deg/s	200
left_upper_arm_gyro_y	y	GYRO	left_upper_arm	deg/s	200
left_upper_arm_gyro_z	z	GYRO	left_upper_arm	deg/s	200
left_upper_arm_magn_x	x	MAGN	left_upper_arm	Gauss	200
left_upper_arm_magn_y	y	MAGN	left_upper_arm	Gauss	200
left_upper_arm_magn_z	z	MAGN	left_upper_arm	Gauss	200
left_fore_arm_accelel_x	x	ACCEL	left_fore_arm	g	200
left_fore_arm_accelel_y	y	ACCEL	left_fore_arm	g	200
left_fore_arm_accelel_z	z	ACCEL	left_fore_arm	g	200
left_fore_arm_gyro_x	x	GYRO	left_fore_arm	deg/s	200
left_fore_arm_gyro_y	y	GYRO	left_fore_arm	deg/s	200
left_fore_arm_gyro_z	z	GYRO	left_fore_arm	deg/s	200
left_fore_arm_magn_x	x	MAGN	left_fore_arm	Gauss	200
left_fore_arm_magn_y	y	MAGN	left_fore_arm	Gauss	200
left_fore_arm_magn_z	z	MAGN	left_fore_arm	Gauss	200
right_upper_arm_accelel_x	x	ACCEL	right_upper_arm	g	200
right_upper_arm_accelel_y	y	ACCEL	right_upper_arm	g	200
right_upper_arm_accelel_z	z	ACCEL	right_upper_arm	g	200
right_upper_arm_gyro_x	x	GYRO	right_upper_arm	deg/s	200
right_upper_arm_gyro_y	y	GYRO	right_upper_arm	deg/s	200
right_upper_arm_gyro_z	z	GYRO	right_upper_arm	deg/s	200
right_upper_arm_magn_x	x	MAGN	right_upper_arm	Gauss	200
right_upper_arm_magn_y	y	MAGN	right_upper_arm	Gauss	200
right_upper_arm_magn_z	z	MAGN	right_upper_arm	Gauss	200
right_fore_arm_accelel_x	x	ACCEL	right_fore_arm	g	200
right_fore_arm_accelel_y	y	ACCEL	right_fore_arm	g	200
right_fore_arm_accelel_z	z	ACCEL	right_fore_arm	g	200
right_fore_arm_gyro_x	x	GYRO	right_fore_arm	deg/s	200
right_fore_arm_gyro_y	y	GYRO	right_fore_arm	deg/s	200
right_fore_arm_gyro_z	z	GYRO	right_fore_arm	deg/s	200
right_fore_arm_magn_x	x	MAGN	right_fore_arm	Gauss	200
right_fore_arm_magn_y	y	MAGN	right_fore_arm	Gauss	200
right_fore_arm_magn_z	z	MAGN	right_fore_arm	Gauss	200
pelvis_accelel_x	x	ACCEL	pelvis	g	200
pelvis_accelel_y	y	ACCEL	pelvis	g	200
pelvis_accelel_z	z	ACCEL	pelvis	g	200
pelvis_gyro_x	x	GYRO	pelvis	deg/s	200
pelvis_gyro_y	y	GYRO	pelvis	deg/s	200
